--------------------------------------
sw_if_index: 3 | bits: 8 | size: 256 | mode: 4
pkt_count: -1099754752 | admitted times: 1379119 (0.000) | not_monitored: 1221024657 (.382)
raw_count swaps: 1476870 
hll_assigned: 587 (587)
--------------------------------------
< val > 	 < key > 	 Hll_count 	 stream_q 	 raw_count_index 	 raw_count_value 	 reg_count_value 	 max_reg_value 
   676.46 	 11.12.34.213    	    718.91 	     65.48 	 0383 	       6923 	        235 	 10
   665.51 	 11.12.34.104    	    686.40 	     68.58 	 0363 	       5005 	        235 	 10
    11.16 	 11.22.34.214    	     11.24 	    248.25 	 0248 	       1315 	         11 	 10
    11.13 	 11.22.35.18    	     11.24 	    250.03 	 0004 	        297 	         11 	 5
    11.16 	 11.22.34.6    	     11.24 	    248.32 	 0207 	        423 	         11 	 7
    11.17 	 11.22.36.135    	     11.24 	    247.69 	 0103 	        553 	         11 	 8
   619.32 	 11.12.34.172    	    656.70 	     71.68 	 0348 	       5800 	        234 	 11
     9.09 	 11.22.39.53    	      9.16 	    249.88 	 0011 	        531 	          9 	 8
   702.26 	 11.12.34.35    	    734.25 	     64.11 	 0458 	       4284 	        242 	 10
    11.13 	 11.22.34.19    	     11.24 	    249.31 	 0051 	       1305 	         11 	 10
    11.17 	 11.22.36.223    	     11.24 	    248.16 	 0194 	        565 	         11 	 8
   706.27 	 11.12.34.44    	    695.48 	     67.68 	 0474 	       8030 	        238 	 10
    11.14 	 11.22.36.139    	     11.24 	    249.27 	 0142 	        457 	         11 	 7
    11.18 	 11.22.36.166    	     11.24 	    247.38 	 0294 	        819 	         11 	 8
     5.03 	 11.22.36.57    	      5.05 	    252.50 	 0040 	        775 	          5 	 9
    11.15 	 11.22.37.163    	     11.24 	    248.27 	 0195 	        599 	         11 	 8
    10.14 	 11.22.39.59    	     10.20 	    249.13 	 0086 	        790 	         10 	 9
    11.16 	 11.22.38.55    	     11.24 	    248.50 	 0026 	        539 	         11 	 8
    11.15 	 11.22.39.77    	     11.24 	    248.79 	 0027 	        557 	         11 	 8
    10.13 	 11.22.34.199    	     10.20 	    249.04 	 0161 	        558 	         10 	 8
    11.16 	 11.22.38.52    	     11.24 	    248.88 	 0204 	       2343 	         11 	 11
    11.17 	 11.22.38.134    	     11.24 	    247.78 	 0277 	        327 	         11 	 5
   697.41 	 11.12.34.139    	    725.41 	     64.89 	 0450 	       4514 	        242 	 10
    11.16 	 11.22.36.83    	     11.24 	    248.09 	 0018 	        329 	         11 	 5
    11.15 	 11.22.36.111    	     11.24 	    249.25 	 0165 	       1295 	         11 	 10
   687.19 	 11.12.34.175    	    724.77 	     64.95 	 0407 	       6531 	        243 	 10
    11.14 	 11.22.36.244    	     11.24 	    248.91 	 0222 	        431 	         11 	 7
    11.18 	 11.22.35.254    	     11.24 	    247.29 	 0334 	        453 	         11 	 7
   694.42 	 11.12.34.4    	    735.77 	     63.98 	 0436 	       8820 	        238 	 11
     9.10 	 11.22.37.78    	      9.16 	    250.03 	 0090 	        303 	          9 	 5
    11.18 	 11.22.39.133    	     11.24 	    247.78 	 0282 	        411 	         11 	 6
     2.00 	 11.22.37.52    	      2.01 	    254.50 	 0045 	        768 	          2 	 9
    11.14 	 11.22.39.121    	     11.24 	    248.91 	 0023 	        559 	         11 	 8
    11.16 	 11.22.36.79    	     11.24 	    248.34 	 0105 	        327 	         11 	 5
   666.13 	 11.12.34.39    	    659.99 	     71.32 	 0364 	      12938 	        242 	 13
   696.46 	 11.12.34.165    	    695.79 	     67.65 	 0444 	      10231 	        237 	 11
    11.18 	 11.22.39.82    	     11.24 	    247.57 	 0305 	        435 	         11 	 7
   687.86 	 11.12.34.103    	    682.69 	     68.95 	 0411 	       5140 	        240 	 9
    11.18 	 11.22.34.203    	     11.24 	    247.79 	 0322 	        461 	         11 	 7
    11.16 	 11.22.37.247    	     11.24 	    248.54 	 0081 	        565 	         11 	 8
   697.56 	 11.12.34.112    	    672.65 	     69.98 	 0452 	       7782 	        236 	 12
   668.62 	 11.12.34.69    	    694.59 	     67.77 	 0368 	       6315 	        237 	 9
   674.96 	 11.12.34.205    	    668.79 	     70.38 	 0379 	       6173 	        235 	 10
    11.16 	 11.22.34.234    	     11.24 	    248.45 	 0096 	        397 	         11 	 6
   702.17 	 11.12.34.123    	    698.66 	     67.38 	 0456 	       6972 	        234 	 11
    11.17 	 11.22.39.47    	     11.24 	    247.66 	 0278 	        385 	         11 	 5
     3.01 	 11.22.34.36    	      3.02 	    253.76 	 0044 	        387 	          3 	 7
   694.89 	 11.12.34.202    	    722.19 	     65.18 	 0440 	       6224 	        238 	 11
   708.52 	 11.12.34.79    	    699.42 	     67.30 	 0479 	       4676 	        236 	 9
    11.16 	 11.22.38.56    	     11.24 	    248.06 	 0245 	       2345 	         11 	 11
    11.17 	 11.22.38.111    	     10.20 	    247.88 	 0064 	        440 	         10 	 7
    11.18 	 11.22.37.59    	     11.24 	    248.06 	 0285 	       8489 	         11 	 13
    11.16 	 11.22.35.252    	     11.24 	    248.23 	 0240 	        447 	         11 	 7
    11.14 	 11.22.37.179    	     10.20 	    249.14 	 0250 	        348 	         10 	 6
     4.02 	 11.22.39.40    	      4.03 	    253.16 	 0041 	        296 	          4 	 5
   715.64 	 11.12.34.108    	    731.31 	     64.37 	 0502 	       7099 	        241 	 11
     5.03 	 11.22.38.240    	      5.05 	    253.00 	 0039 	       1283 	          5 	 10
    11.15 	 11.22.36.104    	     11.24 	    248.75 	 0125 	        537 	         11 	 8
   714.89 	 11.12.34.229    	    737.76 	     63.80 	 0498 	      13489 	        241 	 13
   718.37 	 11.12.34.88    	    746.72 	     63.04 	 0510 	      31981 	        243 	 14
    11.16 	 11.22.35.43    	     11.24 	    249.13 	 0163 	       1299 	         11 	 10
   693.48 	 11.12.34.183    	    732.31 	     64.28 	 0433 	       9084 	        238 	 12
    11.16 	 11.22.37.15    	     11.24 	    247.89 	 0088 	        415 	         11 	 6
    11.16 	 11.22.36.247    	     11.24 	    248.31 	 0108 	        801 	         11 	 9
    11.17 	 11.22.34.130    	     11.24 	    247.50 	 0274 	        447 	         11 	 6
   665.92 	 11.12.34.144    	    646.07 	     72.86 	 0365 	      10688 	        236 	 12
    11.18 	 11.22.38.21    	     11.24 	    247.83 	 0296 	        399 	         11 	 6
    11.17 	 11.22.38.208    	     11.24 	    248.13 	 0197 	        801 	         11 	 9
    11.16 	 11.22.34.14    	     11.24 	    248.20 	 0247 	        357 	         11 	 6
    11.18 	 11.22.34.173    	     11.24 	    246.98 	 0279 	       1475 	         11 	 10
    11.15 	 11.22.35.85    	     11.24 	    248.47 	 0083 	        323 	         11 	 5
   697.39 	 11.12.34.140    	    696.98 	     67.54 	 0448 	       5409 	        235 	 10
    11.16 	 11.22.35.238    	     11.24 	    248.31 	 0239 	        337 	         11 	 5
    10.12 	 11.22.38.80    	     10.20 	    249.47 	 0148 	        318 	         10 	 5
   686.93 	 11.12.34.198    	    688.90 	     68.33 	 0408 	      25979 	        239 	 14
    11.17 	 11.22.37.232    	     11.24 	    247.81 	 0002 	       1365 	         11 	 10
    11.16 	 11.22.36.61    	     11.24 	    248.47 	 0139 	        573 	         11 	 8
    11.15 	 11.22.34.242    	     11.24 	    249.07 	 0056 	        539 	         11 	 8
    11.15 	 11.22.36.68    	     11.24 	    248.72 	 0168 	        321 	         11 	 5
    11.15 	 11.22.35.37    	     11.24 	    248.88 	 0118 	        405 	         11 	 7
    10.15 	 11.22.38.58    	     10.20 	    249.01 	 0110 	        428 	         10 	 7
    11.16 	 11.22.36.41    	     11.24 	    248.50 	 0084 	        813 	         11 	 9
    11.16 	 11.22.39.139    	     11.24 	    248.13 	 0242 	        355 	         11 	 5
    11.14 	 11.22.38.181    	     11.24 	    249.31 	 0166 	       1305 	         11 	 10
    11.16 	 11.22.34.156    	     11.24 	    248.38 	 0070 	        799 	         11 	 9
    11.18 	 11.22.37.150    	     11.24 	    247.37 	 0302 	        361 	         11 	 5
    11.16 	 11.22.35.14    	     11.24 	    248.32 	 0188 	        459 	         11 	 7
   683.66 	 11.12.34.20    	    677.63 	     69.47 	 0397 	       4153 	        241 	 9
   711.12 	 11.12.34.66    	    724.52 	     64.97 	 0488 	       4784 	        242 	 9
   690.27 	 11.12.34.178    	    693.09 	     67.92 	 0420 	       8626 	        232 	 10
    11.17 	 11.22.36.40    	     11.24 	    247.17 	 0268 	        405 	         11 	 6
   628.61 	 11.12.34.238    	    663.68 	     70.93 	 0350 	       5189 	        235 	 10
    11.14 	 11.22.39.69    	     11.24 	    249.38 	 0183 	       2321 	         11 	 11
     3.01 	 11.22.34.4    	      3.02 	    253.76 	 0043 	        387 	          3 	 7
    11.16 	 11.22.37.251    	     11.24 	    248.06 	 0003 	        815 	         11 	 9
    11.18 	 11.22.34.204    	     11.24 	    247.66 	 0309 	        409 	         11 	 6
    10.14 	 11.22.35.4    	     10.20 	    248.55 	 0214 	        876 	         10 	 9
    11.16 	 11.22.38.48    	     11.24 	    247.88 	 0082 	        473 	         11 	 7
   699.98 	 11.12.34.218    	    702.93 	     66.97 	 0453 	       4644 	        234 	 9
   707.05 	 11.12.34.181    	    741.34 	     63.49 	 0480 	       8061 	        241 	 11
    11.19 	 11.22.39.161    	     11.24 	    247.39 	 0343 	        487 	         11 	 7
   680.16 	 11.12.34.87    	    678.13 	     69.42 	 0392 	       8627 	        241 	 11
    11.14 	 11.22.34.224    	     11.24 	    249.14 	 0229 	        339 	         11 	 6
    11.17 	 11.22.37.46    	     11.24 	    248.23 	 0264 	        447 	         11 	 7
    11.16 	 11.22.37.1    	     11.24 	    248.29 	 0114 	        375 	         11 	 6
    10.13 	 11.22.38.43    	     10.20 	    249.16 	 0124 	        560 	         10 	 8
    10.13 	 11.22.37.129    	     10.20 	    248.84 	 0072 	        326 	         10 	 5
    10.14 	 11.22.35.80    	     10.20 	    248.94 	 0128 	        546 	         10 	 8
   717.39 	 11.12.34.32    	    765.82 	     61.47 	 0511 	      21495 	        241 	 14
   675.79 	 11.12.34.93    	    702.89 	     66.97 	 0381 	       3982 	        238 	 9
   673.17 	 11.12.34.133    	    673.15 	     69.93 	 0372 	      21199 	        237 	 14
    11.18 	 11.22.35.128    	     11.24 	    247.16 	 0333 	        347 	         11 	 5
    11.18 	 11.22.36.118    	     11.24 	    247.75 	 0327 	        373 	         11 	 5
    11.16 	 11.22.39.78    	     11.24 	    248.45 	 0233 	        355 	         11 	 6
    11.15 	 11.22.36.197    	     11.24 	    248.76 	 0078 	        427 	         11 	 7
   679.22 	 11.12.34.223    	    715.27 	     65.81 	 0390 	      20736 	        238 	 13
    11.15 	 11.22.34.195    	     11.24 	    247.99 	 0213 	        891 	         11 	 9
    11.14 	 11.22.39.109    	     10.20 	    249.29 	 0019 	        370 	         10 	 6
    10.12 	 11.22.37.242    	     10.20 	    249.91 	 0235 	        304 	         10 	 5
    11.15 	 11.22.38.255    	     11.24 	    248.77 	 0121 	        345 	         11 	 6
    11.16 	 11.22.36.116    	     11.24 	    247.94 	 0169 	        551 	         11 	 8
    11.16 	 11.22.39.10    	     11.24 	    248.28 	 0206 	        353 	         11 	 5
    11.17 	 11.22.37.3    	     11.24 	    247.83 	 0135 	        369 	         11 	 6
   706.43 	 11.12.34.2    	    738.12 	     63.77 	 0476 	       7718 	        240 	 11
   708.76 	 11.12.34.146    	    690.17 	     68.20 	 0484 	       7552 	        240 	 10
    11.16 	 11.22.35.35    	     11.24 	    248.26 	 0225 	       1047 	         11 	 9
   697.17 	 11.12.34.189    	    708.84 	     66.41 	 0446 	       7051 	        241 	 10
    11.16 	 11.22.36.127    	     11.24 	    247.75 	 0111 	        569 	         11 	 8
   684.86 	 11.12.34.43    	    753.60 	     62.46 	 0401 	      14254 	        240 	 12
    11.18 	 11.22.37.215    	     11.24 	    247.95 	 0297 	        465 	         11 	 7
    11.15 	 11.22.35.169    	     11.24 	    248.88 	 0153 	       2325 	         11 	 11
    11.18 	 11.22.35.135    	     11.24 	    247.52 	 0293 	        415 	         11 	 6
    11.14 	 11.22.34.53    	     11.24 	    248.41 	 0151 	        563 	         11 	 8
    11.18 	 11.22.36.2    	     11.24 	    247.34 	 0341 	        431 	         11 	 6
    11.18 	 11.22.35.82    	     11.24 	    248.36 	 0313 	        693 	         11 	 8
   684.88 	 11.12.34.111    	    730.99 	     64.39 	 0403 	      11109 	        239 	 12
    11.16 	 11.22.35.121    	     11.24 	    248.38 	 0147 	       2347 	         11 	 11
   706.84 	 11.12.34.235    	    731.12 	     64.38 	 0478 	       9644 	        240 	 12
    11.16 	 11.22.38.14    	     11.24 	    248.70 	 0251 	        353 	         11 	 6
    10.14 	 11.22.36.8    	     10.20 	    248.94 	 0001 	        802 	         10 	 9
    11.17 	 11.22.38.106    	     11.24 	    247.89 	 0005 	        361 	         11 	 6
    11.17 	 11.22.38.13    	     11.24 	    248.41 	 0061 	        819 	         11 	 9
   693.32 	 11.12.34.200    	    732.58 	     64.26 	 0431 	       3896 	        240 	 9
   696.19 	 11.12.34.154    	    705.75 	     66.69 	 0445 	       9218 	        236 	 12
    11.15 	 11.22.34.59    	     11.24 	    248.51 	 0184 	        411 	         11 	 7
    10.12 	 11.22.39.30    	     10.20 	    249.64 	 0117 	        338 	         10 	 6
    11.17 	 11.22.39.124    	     11.24 	    248.03 	 0221 	        319 	         11 	 5
   691.48 	 11.12.34.192    	    693.69 	     67.86 	 0426 	       7106 	        242 	 11
    11.16 	 11.22.38.137    	     11.24 	    248.45 	 0150 	        425 	         11 	 7
   675.27 	 11.12.34.56    	    666.01 	     70.68 	 0378 	       7745 	        235 	 11
    11.15 	 11.22.38.117    	     11.24 	    248.38 	 0031 	        347 	         11 	 5
   713.45 	 11.12.34.90    	    750.44 	     62.73 	 0496 	       7664 	        238 	 10
    10.11 	 11.22.38.195    	     10.20 	    249.84 	 0007 	        312 	         10 	 5
    11.15 	 11.22.37.67    	     11.24 	    248.75 	 0254 	       1305 	         11 	 10
    11.15 	 11.22.34.37    	     11.24 	    249.20 	 0132 	        349 	         11 	 6
    11.16 	 11.22.37.13    	     11.24 	    248.81 	 0059 	       4381 	         11 	 12
    11.14 	 11.22.38.59    	     11.24 	    249.28 	 0022 	        393 	         11 	 6
    11.15 	 11.22.35.218    	     11.24 	    249.19 	 0050 	        413 	         11 	 7
   708.79 	 11.12.34.65    	    749.67 	     62.79 	 0481 	       6583 	        243 	 11
    11.18 	 11.22.38.128    	     11.24 	    248.11 	 0306 	       1399 	         11 	 10
    11.18 	 11.22.36.129    	     11.24 	    247.77 	 0286 	        539 	         11 	 7
==========VVV=============
   744.62 	 11.12.34.150    	    735.19 	     64.03 	 0558 	      39470 	        242 	 15
   734.85 	 11.12.34.152    	    767.16 	     61.36 	 0542 	       9001 	        241 	 12
   721.25 	 11.12.34.30    	    736.42 	     63.92 	 0521 	       6406 	        240 	 10
   758.82 	 11.12.34.99    	    819.58 	     57.44 	 0577 	      11386 	        244 	 12
   719.65 	 11.12.34.197    	    735.11 	     64.04 	 0514 	       6274 	        246 	 10
   744.25 	 11.12.34.219    	    761.36 	     61.83 	 0556 	       6134 	        242 	 10
   749.33 	 11.12.34.36    	    775.71 	     60.68 	 0565 	       7141 	        243 	 10
   722.91 	 11.12.34.186    	    738.28 	     63.76 	 0529 	       6016 	        240 	 9
   739.59 	 11.12.34.130    	    764.79 	     61.55 	 0552 	       6312 	        242 	 10
   762.56 	 11.12.34.101    	    766.65 	     61.40 	 0579 	       6750 	        244 	 10
   793.97 	 11.12.34.113    	    800.37 	     58.81 	 0584 	       6000 	        244 	 10
   754.69 	 11.12.34.132    	    714.04 	     65.92 	 0575 	      20505 	        237 	 13
   746.45 	 11.12.34.28    	    739.61 	     63.65 	 0560 	       7838 	        240 	 11
   731.89 	 11.12.34.151    	    803.92 	     58.55 	 0539 	      10235 	        249 	 12
   751.34 	 11.12.34.128    	    789.29 	     59.64 	 0571 	       5550 	        242 	 10
   732.22 	 11.12.34.217    	    694.97 	     67.73 	 0540 	       6182 	        238 	 10
   726.12 	 11.12.34.124    	    733.14 	     64.21 	 0528 	      42132 	        242 	 15
   722.88 	 11.12.34.147    	    747.28 	     62.99 	 0524 	       4459 	        243 	 8
   741.47 	 11.12.34.11    	    749.83 	     62.78 	 0557 	       7168 	        248 	 12
   734.92 	 11.12.34.19    	    765.49 	     61.49 	 0544 	       4781 	        247 	 10
   738.61 	 11.12.34.180    	    722.95 	     65.11 	 0547 	       5091 	        243 	 10
   731.88 	 11.12.34.77    	    742.14 	     63.43 	 0538 	      15232 	        244 	 12
   752.61 	 11.12.34.15    	    760.33 	     61.91 	 0573 	       4819 	        243 	 10
   720.35 	 11.12.34.230    	    730.84 	     64.41 	 0518 	       7627 	        243 	 11
   728.39 	 11.12.34.195    	    700.17 	     67.23 	 0531 	       3951 	        241 	 8
   732.10 	 11.12.34.8    	    747.51 	     62.97 	 0541 	       4574 	        242 	 8
   721.16 	 11.12.34.68    	    708.42 	     66.45 	 0519 	      10584 	        238 	 12
   750.40 	 11.12.34.120    	    715.67 	     65.77 	 0567 	       5742 	        238 	 10
   753.03 	 11.12.34.70    	    765.77 	     61.47 	 0572 	       4695 	        239 	 9
   740.16 	 11.12.34.91    	    771.20 	     61.04 	 0555 	      21437 	        243 	 14
   744.54 	 11.12.34.40    	    763.32 	     61.67 	 0561 	       6423 	        241 	 11
   739.58 	 11.12.34.227    	    752.81 	     62.53 	 0550 	       6094 	        242 	 10
   746.57 	 11.12.34.234    	    705.76 	     66.69 	 0563 	       5539 	        243 	 10
   733.55 	 11.12.34.22    	    763.16 	     61.68 	 0543 	       4434 	        242 	 9
   739.15 	 11.12.34.115    	    718.41 	     65.52 	 0549 	      23838 	        240 	 13
   729.12 	 11.12.34.116    	    748.94 	     62.85 	 0533 	       5186 	        238 	 10
   740.36 	 11.12.34.84    	    732.23 	     64.29 	 0554 	       7735 	        235 	 10
   730.76 	 11.12.34.67    	    682.43 	     68.98 	 0537 	       4790 	        238 	 9
   722.54 	 11.12.34.136    	    709.54 	     66.34 	 0527 	       6616 	        240 	 11
   719.36 	 11.12.34.6    	    756.64 	     62.21 	 0512 	       4300 	        246 	 9
   721.72 	 11.12.34.226    	    735.79 	     63.98 	 0523 	       7150 	        244 	 11
   720.87 	 11.12.34.86    	    706.52 	     66.63 	 0517 	      25819 	        237 	 14
   773.12 	 11.12.34.89    	    814.55 	     57.79 	 0582 	       5921 	        243 	 10
   744.39 	 11.12.34.148    	    756.98 	     62.18 	 0559 	       9921 	        239 	 12
   762.91 	 11.12.34.174    	    740.63 	     63.56 	 0581 	       6442 	        240 	 10
   760.17 	 11.12.34.159    	    750.97 	     62.68 	 0580 	       5660 	        242 	 10
   729.99 	 11.12.34.204    	    715.32 	     65.81 	 0536 	       5637 	        239 	 9
   726.55 	 11.12.34.73    	    739.12 	     63.69 	 0530 	       8592 	        242 	 12
   748.38 	 11.12.34.125    	    744.57 	     63.22 	 0562 	       5846 	        242 	 10
   730.08 	 11.12.34.207    	    734.42 	     64.09 	 0535 	       7603 	        243 	 11
   729.93 	 11.12.34.166    	    734.45 	     64.09 	 0534 	       8448 	        240 	 12
   719.79 	 11.12.34.9    	    709.34 	     66.36 	 0516 	       7814 	        242 	 12
   778.61 	 11.12.34.48    	    795.79 	     59.15 	 0585 	      14227 	        243 	 13
   750.13 	 11.12.34.13    	    743.31 	     63.33 	 0570 	       4683 	        241 	 8
   737.14 	 11.12.34.220    	    753.09 	     62.51 	 0548 	       4900 	        246 	 9
   772.53 	 11.12.34.231    	    797.10 	     59.05 	 0583 	      21053 	        245 	 14
   750.92 	 11.12.34.212    	    756.47 	     62.23 	 0569 	       5493 	        245 	 9
   740.11 	 11.12.34.153    	    788.58 	     59.69 	 0553 	       4471 	        243 	 9
   719.08 	 11.12.34.3    	    719.76 	     65.40 	 0513 	       4474 	        240 	 9
   721.06 	 11.12.34.184    	    765.46 	     61.49 	 0520 	       5510 	        240 	 9
   722.19 	 11.12.34.206    	    738.24 	     63.76 	 0525 	      12058 	        242 	 12
   750.07 	 11.12.34.214    	    748.18 	     62.92 	 0568 	       4918 	        238 	 9
